gov,name,name_clean,position,date_start,date_end,ministry
Schober I,Josef Wächter,Josef Wächter,Bundesminister,1921-10-07,1922-01-26,Bundesministerium für Heereswesen
Schober I,Carl Vaugoin,Carl Vaugoin,Bundesminister,1921-06-21,1921-10-07,Bundesministerium für Heereswesen
Schober I,Dr. Alfred Grünberger,Alfred Grünberger,Betraut mit der Leitung des Bundesministeriums,1921-10-07,1922-01-26,Bundesministerium für Volksernährung
Schober I,Dr. Alfred Grünberger,Alfred Grünberger,Bundesminister,1921-06-21,1921-10-07,Bundesministerium für Volksernährung
Schober I,Dr. Walter Rodler,Walter Rodler,Bundesminister,1921-06-21,1922-01-26,Bundesministerium für Verkehrswesen
Mayr II,Dr. Michael Mayr,Michael Mayr,Bundeskanzler,1920-11-20,1921-06-21,Bundeskanzleramt
Mayr II,Walter Breisky,Walter Breisky,Vizekanzler,1920-11-20,1921-06-21,Bundeskanzleramt
Mayr II,Walter Breisky,Walter Breisky,Betraut mit der Leitung der Angelegenheiten des Unterrichts und Kultus,1920-11-20,1921-06-21,Bundesministerium für Inneres und Unterricht
Mayr II,Dr. Rudolf Ramek,Rudolf Ramek,Bundesminister,1921-04-23,1921-06-21,Bundesministerium für Inneres und Unterricht
Mayr II,Walter Breisky,Walter Breisky,Betraut mit der Leitung des Bundesministeriums,1921-04-07,1921-04-23,Bundesministerium für Inneres und Unterricht
Mayr II,Dr. Egon Glanz,Egon Glanz,Bundesminister,1920-11-20,1921-04-07,Bundesministerium für Inneres und Unterricht
Mayr II,Dr. Rudolf Paltauf,Rudolf Paltauf,Bundesminister,1920-11-20,1921-06-21,Bundesministerium für Justiz
Mayr II,Dr. Ferdinand Grimm,Ferdinand Grimm,Bundesminister,1920-11-20,1921-06-21,Bundesministerium für Finanzen
Mayr II,Alois Haueis,Alois Haueis,Bundesminister,1920-11-20,1921-06-21,Bundesministerium für Land- und Forstwirtschaft
Mayr II,Dr. h.c. Eduard Heinl,Eduard Heinl,Bundesminister,1920-11-20,1921-06-21,"Bundesministerium für Handel und Gewerbe, Industrie und Bauten"
Mayr II,Dr. Josef Resch,Josef Resch,Bundesminister,1920-11-20,1921-06-21,Bundesministerium für soziale Verwaltung
Mayr II,Dr. Michael Mayr,Michael Mayr,Leiter des Bundesministeriums,1920-11-20,1921-06-21,Bundesministerium für Äußeres
Mayr II,Carl Vaugoin,Carl Vaugoin,Bundesminister,1921-04-28,1921-06-21,Bundesministerium für Heereswesen
Mayr II,Walter Breisky,Walter Breisky,Betraut mit der Leitung des Bundesministeriums,1921-04-07,1921-04-28,Bundesministerium für Heereswesen
Mayr II,Dr. Egon Glanz,Egon Glanz,Betraut mit der Leitung des Bundesministeriums,1920-11-20,1921-04-07,Bundesministerium für Heereswesen
Mayr II,Dr. Alfred Grünberger,Alfred Grünberger,Bundesminister,1920-11-20,1921-06-21,Bundesministerium für Volksernährung
Mayr II,Dr. Karl Pesta,Karl Pesta,Bundesminister,1920-11-20,1921-06-21,Bundesministerium für Verkehrswesen
Mayr I,Dr. Michael Mayr,Michael Mayr,Vorsitz im Kabinett und betraut mit der Leitung der Staatskanzlei,1920-07-07,1920-11-20,Staatskanzlei
Mayr I,Dr. h.c. Eduard Heinl,Eduard Heinl,Betraut mit der Stellvertretung im Vorsitz im Kabinett,1920-10-22,1920-11-20,Staatskanzlei
Mayr I,Ferdinand Hanusch,Ferdinand Hanusch,Stellvertreter im Vorsitz im Kabinett und in der Leitung der Staatskanzle,1920-07-07,1920-10-22,Staatskanzlei
Mayr I,Dr. Michael Mayr,Michael Mayr,Betraut mit der vorübergehenden Führung des Staatsamtes,1920-10-22,1920-11-20,Staatsamt für Äußeres
Mayr I,Dr. Karl Renner,Karl Renner,Staatssekretär,1920-07-07,1920-10-22,Staatsamt für Äußeres
Mayr I,Richard Reisch,Richard Reisch,Staatssekretär,1920-07-07,1920-11-20,Staatsamt für Finanzen
Mayr I,Dr. h.c. Eduard Heinl,Eduard Heinl,Staatssekretär,1920-07-07,1920-11-20,"Staatsamt für Handel und Gewerbe, Industrie und Bauten"
Mayr I,Dr. Wilhelm Ellenbogen,Wilhelm Ellenbogen,Unterstaatssekretär,1920-07-07,1920-10-22,"Staatsamt für Handel und Gewerbe, Industrie und Bauten"
Mayr I,Walter Breisky,Walter Breisky,Betraut mit der Leitung des Staatsamtes,1920-10-22,1920-11-20,Staatsamt für Heerwesen
Mayr I,Dr. Julius Deutsch,Julius Deutsch,Staatssekretär,1920-07-07,1920-10-22,Staatsamt für Heerwesen
Mayr I,Walter Breisky,Walter Breisky,Staatssekretär,1920-07-07,1920-11-20,Staatsamt für Inneres und Unterricht
Mayr I,Wilhelm Miklas,Wilhelm Miklas,Unterstaatssekretär für Kultus,1920-07-07,1920-11-20,Staatsamt für Inneres und Unterricht
Mayr I,Otto Glöckel,Otto Glöckel,Unterstaatssekretär für Unterricht,1920-07-07,1920-10-22,Staatsamt für Inneres und Unterricht
Mayr I,Dr. Julius Roller,Julius Roller,Staatssekretär,1920-07-07,1920-11-20,Staatsamt für Justiz
Mayr I,Dr. Arnold Eisler,Arnold Eisler,Unterstaatssekretär,1920-07-07,1920-11-20,Staatsamt für Justiz
Mayr I,Alois Haueis,Alois Haueis,Staatssekretär,1920-07-07,1920-11-20,Staatsamt für Land- und Forstwirtschaft
Mayr I,Dr. h.c. Eduard Heinl,Eduard Heinl,Betraut mit der vorübergehenden Führung des Staatsamtes,1920-10-22,1920-11-20,Staatsamt für soziale Verwaltung
Mayr I,Ferdinand Hanusch,Ferdinand Hanusch,Staatssekretär,1920-07-07,1920-10-22,Staatsamt für soziale Verwaltung
Mayr I,Dr. Josef Resch,Josef Resch,Unterstaatssekretär,1920-07-07,1920-11-20,Staatsamt für soziale Verwaltung
Mayr I,Dr. Julius Tandler,Julius Tandler,Unterstaatssekretär für Volksgesundheit,1920-07-07,1920-10-22,Staatsamt für soziale Verwaltung
Mayr I,Dr. Karl Pesta,Karl Pesta,Staatssekretär,1920-07-07,1920-11-20,Staatsamt für Verkehrswesen
Mayr I,Dr. Alfred Grünberger,Alfred Grünberger,Staatssekretär,1920-07-09,1920-10-20,Staatsamt für Volksernährung
Mayr I,Dr. Wilhelm Ellenbogen,Wilhelm Ellenbogen,Präsident der Sozialisierungskommission,1920-07-07,1920-10-22,Staatsamt ohne Portefeuille
Renner III,Dr. Karl Renner,Karl Renner,Staatskanzler,1919-10-17,1920-07-07,Staatskanzlei
Renner III,Dr. h.c. Jodok Fink,Jodok Fink,Vizekanzler,1919-10-17,1920-06-24,Staatskanzlei
Renner III,Dr. Karl Renner,Karl Renner,Staatssekretär,1919-10-17,1920-07-07,Staatsamt für Äußeres
Renner III,Richard Reisch,Richard Reisch,Staatssekretär,1919-10-17,1920-07-07,Staatsamt für Finanzen
Renner III,Dr. Wilhelm Ellenbogen,Wilhelm Ellenbogen,Betraut mit der einstweiligen Führung des Staatsamtes,1920-06-24,1920-07-07,"Staatsamt für Handel und Gewerbe, Industrie und Bauten"
Renner III,Johann Zerdik,Johann Zerdik,Staatssekretär,1919-10-17,1920-06-24,"Staatsamt für Handel und Gewerbe, Industrie und Bauten"
Renner III,Dr. Wilhelm Ellenbogen,Wilhelm Ellenbogen,Unterstaatssekretär,1919-10-17,1920-06-24,"Staatsamt für Handel und Gewerbe, Industrie und Bauten"
Renner III,Dr. Julius Deutsch,Julius Deutsch,Staatssekretär,1919-10-17,1920-07-07,Staatsamt für Heerwesen
Renner III,Dr. Erwin Waihs,Erwin Waihs,Unterstaatssekretär,1919-10-17,1920-06-24,Staatsamt für Heerwesen
Renner III,Matthias Eldersch,Matthias Eldersch,Staatssekretär,1919-10-17,1920-07-07,Staatsamt für Inneres und Unterricht
Renner III,Otto Glöckel,Otto Glöckel,Unterstaatssekretär für Unterricht,1919-10-17,1920-07-07,Staatsamt für Inneres und Unterricht
Renner III,Wilhelm Miklas,Wilhelm Miklas,Unterstaatssekretär für Kultus,1919-10-17,1920-06-24,Staatsamt für Inneres und Unterricht
Renner III,Matthias Eldersch,Matthias Eldersch,Betraut mit der einstweiligen Führung des Staatsamtes,1920-06-24,1920-07-07,Staatsamt für Justiz
Renner III,Dr. Rudolf Ramek,Rudolf Ramek,Staatssekretär,1919-10-17,1920-06-24,Staatsamt für Justiz
Renner III,Dr. Arnold Eisler,Arnold Eisler,Unterstaatssekretär,1919-10-17,1920-07-07,Staatsamt für Justiz
